Region,Country,Item Type,Sales Channel,Order ID,Units Sold,Unit Price,Unit Cost,Total Profit
Europe,Luxembourg,Vegetables,Offline,744683635,7291,154.06,90.93,460280.83
Sub-Saharan Africa,Benin,Personal Care,Online,440603101,3104,81.73,56.67,77786.24
Middle East and North Africa,Somalia,Clothes,Offline,629547774,6031,109.28,35.84,442916.64
Europe,Switzerland,Meat,Online,169378983,1860,421.89,364.69,106392
Middle East and North Africa,Saudi Arabia,Personal Care,Offline,688270556,3407,81.73,56.67,85379.42
Asia,Laos,Meat,Online,734708821,5522,421.89,364.69,315858.4
Asia,Kyrgyzstan,Snacks,Online,727492606,84,152.58,97.44,4631.76
Middle East and North Africa,Algeria,Baby Food,Offline,705733239,1003,255.28,159.42,96147.58
Sub-Saharan Africa,Angola,Office Supplies,Offline,778854548,9224,651.21,524.96,1164530
Sub-Saharan Africa,Mauritania,Cosmetics,Offline,676592862,7718,437.2,263.33,1341928.66
Middle East and North Africa,Lebanon,Household,Offline,198997008,6492,668.27,502.54,1075919.16
Europe,Finland,Beverages,Online,566428315,7581,47.45,31.79,118718.46
Asia,Taiwan,Baby Food,Online,369560611,52,255.28,159.42,4984.72
Europe,Belgium,Snacks,Online,519380223,5005,152.58,97.44,275975.7
Asia,Laos,Office Supplies,Online,197185981,568,651.21,524.96,71710
Europe,San Marino,Office Supplies,Online,904589211,6905,651.21,524.96,871756.25
Australia and Oceania,Tuvalu,Household,Offline,613513743,1205,668.27,502.54,199704.65
Australia and Oceania,Kiribati,Clothes,Offline,516195905,2694,109.28,35.84,197847.36
Asia,Kyrgyzstan,Vegetables,Offline,975184524,7626,154.06,90.93,481429.38
Australia and Oceania,Samoa ,Clothes,Online,173340928,4287,109.28,35.84,314837.28
Sub-Saharan Africa,Central African Republic,Personal Care,Offline,863838946,7995,81.73,56.67,200354.7
Asia,Uzbekistan,Cereal,Offline,920164906,6099,205.7,117.11,540310.41
Central America and the Caribbean,Dominica,Meat,Online,986117637,2977,421.89,364.69,170284.4
Middle East and North Africa,Qatar,Cereal,Online,425808465,5042,205.7,117.11,446670.78
Central America and the Caribbean,Saint Lucia,Beverages,Online,473661220,5736,47.45,31.79,89825.76
Europe,Bosnia and Herzegovina,Baby Food,Online,184412229,531,255.28,159.42,50901.66
Asia,South Korea,Vegetables,Offline,483110320,1934,154.06,90.93,122093.42
Central America and the Caribbean,Trinidad and Tobago,Household,Online,115116822,4481,668.27,502.54,742636.13
Middle East and North Africa,Somalia,Baby Food,Online,596105563,9738,255.28,159.42,933484.68
Sub-Saharan Africa,Nigeria,Snacks,Online,362062871,1304,152.58,97.44,71902.56
Sub-Saharan Africa,South Africa,Beverages,Online,619287574,9810,47.45,31.79,153624.6
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,394391000,7916,109.28,35.84,581351.04
Sub-Saharan Africa,Sudan,Beverages,Online,584296977,5315,47.45,31.79,83232.9
Middle East and North Africa,Algeria,Clothes,Offline,806241834,3730,109.28,35.84,273931.2
Europe,Netherlands,Meat,Offline,747774398,1916,421.89,364.69,109595.2
Central America and the Caribbean,Panama,Meat,Online,616755998,660,421.89,364.69,37752
Australia and Oceania,Solomon Islands,Baby Food,Offline,691360461,7779,255.28,159.42,745694.94
Central America and the Caribbean,Saint Vincent and the Grenadines,Beverages,Online,870074117,3121,47.45,31.79,48874.86
Middle East and North Africa,Iran,Office Supplies,Online,221695792,3566,651.21,524.96,450207.5
Australia and Oceania,Vanuatu,Fruits,Online,135336816,8026,9.33,6.92,19342.66
Australia and Oceania,Federated States of Micronesia,Office Supplies,Online,270421016,2443,651.21,524.96,308428.75
Sub-Saharan Africa,Equatorial Guinea,Household,Online,806684720,4790,668.27,502.54,793846.7
Europe,Russia,Household,Online,194176757,72,668.27,502.54,11932.56
Middle East and North Africa,Azerbaijan,Baby Food,Offline,103258454,5326,255.28,159.42,510550.36
Middle East and North Africa,Iraq,Office Supplies,Online,474603641,4619,651.21,524.96,583148.75
Sub-Saharan Africa,Mauritius ,Cereal,Online,869198644,4049,205.7,117.11,358700.91
Sub-Saharan Africa,Eritrea,Household,Online,918342292,6747,668.27,502.54,1118180.31
Europe,Ukraine,Cosmetics,Online,773645913,7873,437.2,263.33,1368878.51
Asia,Myanmar,Cosmetics,Online,657033336,9620,437.2,263.33,1672629.4
Europe,Bosnia and Herzegovina,Meat,Online,410740888,6211,421.89,364.69,355269.2
Europe,Latvia,Meat,Offline,847317397,8902,421.89,364.69,509194.4
Europe,Serbia,Beverages,Online,599624192,978,47.45,31.79,15315.48
Asia,Mongolia,Beverages,Offline,170835101,2758,47.45,31.79,43190.28
Central America and the Caribbean,Grenada,Cereal,Online,584436452,6588,205.7,117.11,583630.92
Sub-Saharan Africa,Namibia,Office Supplies,Online,234227073,1851,651.21,524.96,233688.75
Europe,Portugal,Office Supplies,Online,734318292,9956,651.21,524.96,1256945
Central America and the Caribbean,Barbados,Snacks,Online,169133937,9345,152.58,97.44,515283.3
Asia,Sri Lanka,Cereal,Online,743410336,494,205.7,117.11,43763.46
Europe,Poland,Household,Offline,232196319,905,668.27,502.54,149985.65
Sub-Saharan Africa,Senegal,Beverages,Offline,530853211,117,47.45,31.79,1832.22
Australia and Oceania,Kiribati,Fruits,Online,905054843,4695,9.33,6.92,11314.95
Middle East and North Africa,Somalia,Household,Offline,240787541,3239,668.27,502.54,536799.47
Sub-Saharan Africa,Burundi,Meat,Online,194350135,1379,421.89,364.69,78878.8
Asia,Malaysia,Household,Online,242353951,6775,668.27,502.54,1122820.75
Central America and the Caribbean,Haiti,Vegetables,Offline,831722819,4120,154.06,90.93,260095.6
Europe,Liechtenstein,Cosmetics,Online,229693067,138,437.2,263.33,23994.06
Sub-Saharan Africa,Zambia,Cereal,Offline,373813521,8583,205.7,117.11,760367.97
Europe,United Kingdom,Beverages,Online,121945512,5242,47.45,31.79,82089.72
Australia and Oceania,Vanuatu,Fruits,Offline,202262866,2932,9.33,6.92,7066.12
Australia and Oceania,Tuvalu,Personal Care,Offline,963251912,6501,81.73,56.67,162915.06
Central America and the Caribbean,Antigua and Barbuda ,Household,Online,123711478,7830,668.27,502.54,1297665.9
Central America and the Caribbean,Haiti,Clothes,Offline,422752892,830,109.28,35.84,60955.2
Europe,Slovenia,Fruits,Online,169799983,6443,9.33,6.92,15527.63
Europe,Malta,Vegetables,Online,894589078,7643,154.06,90.93,482502.59
Asia,Bhutan,Office Supplies,Offline,597169005,4434,651.21,524.96,559792.5
Sub-Saharan Africa,Eritrea,Office Supplies,Offline,497901093,8853,651.21,524.96,1117691.25
Europe,Ukraine,Personal Care,Online,987459170,9967,81.73,56.67,249773.02
Asia,Singapore,Personal Care,Offline,276829564,8875,81.73,56.67,222407.5
Sub-Saharan Africa,Cameroon,Household,Offline,247311103,3706,668.27,502.54,614195.38
Europe,Cyprus,Fruits,Offline,600515115,4622,9.33,6.92,11139.02
Europe,Poland,Office Supplies,Offline,208365428,8815,651.21,524.96,1112893.75
Europe,Monaco,Personal Care,Online,263098371,5509,81.73,56.67,138055.54
Australia and Oceania,Vanuatu,Office Supplies,Online,227262771,959,651.21,524.96,121073.75
Sub-Saharan Africa,Gabon,Office Supplies,Offline,983719956,3450,651.21,524.96,435562.5
Sub-Saharan Africa,Djibouti,Baby Food,Offline,785643756,8301,255.28,159.42,795733.86
Sub-Saharan Africa,Namibia,Office Supplies,Online,206520497,2859,651.21,524.96,360948.75
Europe,Estonia,Cosmetics,Online,790149009,1505,437.2,263.33,261674.35
Europe,Norway,Cereal,Online,100640618,650,205.7,117.11,57583.5
Sub-Saharan Africa,Ethiopia,Personal Care,Online,272419154,3736,81.73,56.67,93624.16
Sub-Saharan Africa,Burundi,Meat,Offline,360220944,6237,421.89,364.69,356756.4
Asia,Thailand,Beverages,Offline,389094817,658,47.45,31.79,10304.28
Sub-Saharan Africa,Mauritius ,Meat,Offline,904402101,1534,421.89,364.69,87744.8
Sub-Saharan Africa,Uganda,Vegetables,Online,721816623,434,154.06,90.93,27398.42
Europe,Luxembourg,Snacks,Online,977324712,955,152.58,97.44,52658.7
Sub-Saharan Africa,The Gambia,Beverages,Online,177225196,3729,47.45,31.79,58396.14
Middle East and North Africa,United Arab Emirates,Beverages,Online,948129403,1415,47.45,31.79,22158.9
Central America and the Caribbean,Haiti,Meat,Offline,586961162,3706,421.89,364.69,211983.2
Europe,Luxembourg,Snacks,Online,510956799,2326,152.58,97.44,128255.64
Central America and the Caribbean,Saint Lucia,Meat,Online,407665145,6030,421.89,364.69,344916
Middle East and North Africa,Iraq,Meat,Online,484947526,5604,421.89,364.69,320548.8
Europe,Armenia,Fruits,Online,120977771,8866,9.33,6.92,21367.06
Asia,Singapore,Personal Care,Offline,114242208,5663,81.73,56.67,141914.78
Middle East and North Africa,Jordan,Clothes,Online,433539664,2876,109.28,35.84,211213.44
Australia and Oceania,Tonga,Meat,Online,667981469,9416,421.89,364.69,538595.2
Europe,Bulgaria,Snacks,Offline,476991450,1225,152.58,97.44,67546.5
Sub-Saharan Africa,Sudan,Office Supplies,Online,940305936,6277,651.21,524.96,792471.25
Sub-Saharan Africa,Mali,Baby Food,Online,507973754,9577,255.28,159.42,918051.22
Asia,Myanmar,Cosmetics,Online,850356233,8161,437.2,263.33,1418953.07
Asia,Sri Lanka,Meat,Offline,108127200,6096,421.89,364.69,348691.2
Middle East and North Africa,Azerbaijan,Office Supplies,Online,542272984,9481,651.21,524.96,1196976.25
Sub-Saharan Africa,Tanzania,Office Supplies,Offline,884092414,1447,651.21,524.96,182683.75
Sub-Saharan Africa,Swaziland,Household,Offline,385196816,7153,668.27,502.54,1185466.69
Asia,Myanmar,Meat,Online,167510020,8792,421.89,364.69,502902.4
Europe,Denmark,Beverages,Online,973268353,589,47.45,31.79,9223.74
Sub-Saharan Africa,Seychelles ,Fruits,Offline,915020644,3797,9.33,6.92,9150.77
Sub-Saharan Africa,Madagascar,Cosmetics,Offline,425628221,1704,437.2,263.33,296274.48
Central America and the Caribbean,Saint Lucia,Beverages,Online,908264911,4626,47.45,31.79,72443.16
Sub-Saharan Africa,Mauritius ,Cereal,Online,686417043,4912,205.7,117.11,435154.08
Asia,Taiwan,Household,Online,853883445,1941,668.27,502.54,321681.93
Middle East and North Africa,Morocco,Cereal,Online,324775445,7126,205.7,117.11,631292.34
Middle East and North Africa,Jordan,Cereal,Online,783516871,8909,205.7,117.11,789248.31
Asia,China,Cosmetics,Offline,834844052,7762,437.2,263.33,1349578.94
Asia,South Korea,Snacks,Offline,953805816,1191,152.58,97.44,65671.74
North America,United States of America,Office Supplies,Online,335763490,8733,651.21,524.96,1102541.25
Asia,Uzbekistan,Cosmetics,Online,946390902,6954,437.2,263.33,1209091.98
Europe,Finland,Vegetables,Offline,771674382,4453,154.06,90.93,281117.89
Asia,Philippines,Cereal,Online,567912757,6860,205.7,117.11,607727.4
Middle East and North Africa,Libya,Office Supplies,Offline,711717355,1836,651.21,524.96,231795
Sub-Saharan Africa,South Sudan,Office Supplies,Online,750012004,4074,651.21,524.96,514342.5
Middle East and North Africa,Kuwait,Snacks,Online,750033032,297,152.58,97.44,16376.58
Central America and the Caribbean,Saint Lucia,Household,Offline,849329268,4259,668.27,502.54,705844.07
Central America and the Caribbean,Grenada,Meat,Online,805762040,1748,421.89,364.69,99985.6
Sub-Saharan Africa,Namibia,Cereal,Online,447505176,5581,205.7,117.11,494420.79
Australia and Oceania,Solomon Islands,Beverages,Offline,123045003,606,47.45,31.79,9489.96
Asia,Philippines,Household,Offline,251180350,8702,668.27,502.54,1442182.46
Asia,Turkmenistan,Household,Online,871022546,3782,668.27,502.54,626790.86
Europe,Kosovo,Fruits,Online,291995418,6788,9.33,6.92,16359.08
Asia,Singapore,Clothes,Online,943835294,692,109.28,35.84,50820.48
Sub-Saharan Africa,South Africa,Office Supplies,Offline,826591002,5501,651.21,524.96,694501.25
Middle East and North Africa,Lebanon,Cosmetics,Online,260623872,3250,437.2,263.33,565077.5
Australia and Oceania,Samoa ,Vegetables,Online,536607730,3007,154.06,90.93,189831.91
Australia and Oceania,Samoa ,Personal Care,Offline,765528905,5870,81.73,56.67,147102.2
Europe,Hungary,Baby Food,Online,128686225,9968,255.28,159.42,955532.48
Middle East and North Africa,Pakistan,Vegetables,Offline,127691018,5465,154.06,90.93,345005.45
Australia and Oceania,Tonga,Vegetables,Offline,534467113,9550,154.06,90.93,602891.5
Australia and Oceania,Vanuatu,Personal Care,Online,741250836,1450,81.73,56.67,36337
Australia and Oceania,Vanuatu,Snacks,Online,210591018,7417,152.58,97.44,408973.38
Central America and the Caribbean,Grenada,Vegetables,Online,725348985,5738,154.06,90.93,362239.94
Sub-Saharan Africa,Mozambique,Household,Offline,538698565,1731,668.27,502.54,286878.63
Central America and the Caribbean,Cuba,Cereal,Offline,224126088,2745,205.7,117.11,243179.55
Middle East and North Africa,Algeria,Beverages,Online,425430381,3159,47.45,31.79,49469.94
Sub-Saharan Africa,Equatorial Guinea,Vegetables,Offline,506722772,9383,154.06,90.93,592348.79
Sub-Saharan Africa,Uganda,Office Supplies,Offline,802427089,4862,651.21,524.96,613827.5
Asia,Thailand,Cosmetics,Offline,367279660,5068,437.2,263.33,881173.16
Middle East and North Africa,Turkey,Personal Care,Offline,126329314,2506,81.73,56.67,62800.36
Asia,Kazakhstan,Personal Care,Offline,624937379,1713,81.73,56.67,42927.78
Central America and the Caribbean,Nicaragua,Snacks,Offline,678777682,4255,152.58,97.44,234620.7
Asia,Kazakhstan,Cereal,Online,523836553,3732,205.7,117.11,330617.88
Sub-Saharan Africa,Chad,Cereal,Offline,466412818,772,205.7,117.11,68391.48
Australia and Oceania,East Timor,Fruits,Online,433117806,8039,9.33,6.92,19373.99
Europe,Lithuania,Cosmetics,Offline,420875346,5223,437.2,263.33,908123.01
Sub-Saharan Africa,Eritrea,Cosmetics,Online,946921765,4048,437.2,263.33,703825.76
Sub-Saharan Africa,Zambia,Household,Offline,798805892,3270,668.27,502.54,541937.1
Sub-Saharan Africa,Liberia,Household,Offline,184389054,3674,668.27,502.54,608892.02
Central America and the Caribbean,Saint Kitts and Nevis ,Household,Offline,281845080,3077,668.27,502.54,509951.21
Central America and the Caribbean,Jamaica,Meat,Online,989660298,1330,421.89,364.69,76076
Europe,Albania,Vegetables,Online,476633536,5310,154.06,90.93,335220.3
Asia,Japan,Baby Food,Offline,131876122,3930,255.28,159.42,376729.8
Sub-Saharan Africa,Equatorial Guinea,Meat,Offline,514811885,3132,421.89,364.69,179150.4
Asia,Myanmar,Office Supplies,Online,905177152,889,651.21,524.96,112236.25
Middle East and North Africa,Libya,Personal Care,Offline,653020751,2207,81.73,56.67,55307.42
Asia,Mongolia,Meat,Online,528704011,4121,421.89,364.69,235721.2
Asia,Singapore,Snacks,Offline,472900760,699,152.58,97.44,38542.86
Central America and the Caribbean,The Bahamas,Baby Food,Offline,946597325,8039,255.28,159.42,770618.54
Asia,Sri Lanka,Office Supplies,Offline,681092536,9272,651.21,524.96,1170590
Europe,Cyprus,Vegetables,Offline,727997720,9558,154.06,90.93,603396.54
Middle East and North Africa,Afghanistan,Baby Food,Online,409236705,1090,255.28,159.42,104487.4
Europe,Moldova ,Personal Care,Online,467045819,8092,81.73,56.67,202785.52
Europe,Kosovo,Cosmetics,Offline,813973891,1818,437.2,263.33,316095.66
Middle East and North Africa,Egypt,Household,Online,982882249,5554,668.27,502.54,920464.42
Europe,Albania,Cosmetics,Offline,576944720,9619,437.2,263.33,1672455.53
Asia,Singapore,Vegetables,Offline,619647634,6360,154.06,90.93,401506.8
Europe,Portugal,Baby Food,Online,404789817,5157,255.28,159.42,494350.02
Asia,India,Snacks,Offline,646482598,7422,152.58,97.44,409249.08
Sub-Saharan Africa,Sudan,Meat,Online,329149806,1597,421.89,364.69,91348.4
Australia and Oceania,Vanuatu,Office Supplies,Offline,757527768,8155,651.21,524.96,1029568.75
Sub-Saharan Africa,Democratic Republic of the Congo,Cosmetics,Online,606665313,4602,437.2,263.33,800149.74
Europe,Bosnia and Herzegovina,Baby Food,Online,871923768,474,255.28,159.42,45437.64
Europe,Kosovo,Vegetables,Offline,818976962,2337,154.06,90.93,147534.81
Europe,Switzerland,Cosmetics,Online,233811223,8792,437.2,263.33,1528665.04
Central America and the Caribbean,Cuba,Beverages,Offline,772725379,5466,47.45,31.79,85597.56
Europe,Lithuania,Office Supplies,Offline,112330758,22,651.21,524.96,2777.5
Middle East and North Africa,Lebanon,Clothes,Online,499551188,7153,109.28,35.84,525316.32
Asia,North Korea,Clothes,Online,201622998,3581,109.28,35.84,262988.64
Europe,Montenegro,Office Supplies,Offline,256095016,3061,651.21,524.96,386451.25
Sub-Saharan Africa,Eritrea,Fruits,Offline,420828568,1380,9.33,6.92,3325.8
Sub-Saharan Africa,Democratic Republic of the Congo,Cereal,Online,523997485,1355,205.7,117.11,120039.45
Asia,India,Office Supplies,Online,914088094,7835,651.21,524.96,989168.75
Sub-Saharan Africa,Republic of the Congo,Snacks,Online,209899222,2699,152.58,97.44,148822.86
Sub-Saharan Africa,Comoros,Clothes,Offline,250542199,9859,109.28,35.84,724044.96
Europe,France,Meat,Online,245440852,257,421.89,364.69,14700.4
Sub-Saharan Africa,Rwanda,Vegetables,Online,824331510,6867,154.06,90.93,433513.71
Sub-Saharan Africa,Malawi,Meat,Online,887263000,9693,421.89,364.69,554439.6
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Offline,754596650,772,205.7,117.11,68391.48
Europe,Spain,Fruits,Online,817006289,9172,9.33,6.92,22104.52
Sub-Saharan Africa,Uganda,Clothes,Offline,185478246,5989,109.28,35.84,439832.16
Asia,Taiwan,Personal Care,Offline,741311347,9356,81.73,56.67,234461.36
Middle East and North Africa,Israel,Personal Care,Offline,386116921,9432,81.73,56.67,236365.92
Central America and the Caribbean,Costa Rica,Meat,Offline,691818797,3411,421.89,364.69,195109.2
Central America and the Caribbean,Honduras,Snacks,Online,150653302,515,152.58,97.44,28397.1
Asia,South Korea,Vegetables,Offline,925169265,7000,154.06,90.93,441910
Europe,Sweden,Vegetables,Online,298228013,1151,154.06,90.93,72662.63
Australia and Oceania,Tonga,Office Supplies,Online,123003375,8287,651.21,524.96,1046233.75
Europe,Latvia,Snacks,Online,972981679,5755,152.58,97.44,317330.7
Asia,Indonesia,Beverages,Online,791961753,7937,47.45,31.79,124293.42
Asia,Myanmar,Household,Online,744054925,1242,668.27,502.54,205836.66
Asia,Turkmenistan,Office Supplies,Offline,263685023,9113,651.21,524.96,1150516.25
Central America and the Caribbean,Panama,Baby Food,Online,205588376,7024,255.28,159.42,673320.64
Europe,Norway,Personal Care,Offline,594813811,7480,81.73,56.67,187448.8
Europe,Estonia,Clothes,Online,176722657,5016,109.28,35.84,368375.04
Europe,Malta,Personal Care,Offline,466988742,1201,81.73,56.67,30097.06
Sub-Saharan Africa,Eritrea,Personal Care,Offline,801598393,9633,81.73,56.67,241402.98
Sub-Saharan Africa,Republic of the Congo,Meat,Offline,586850440,941,421.89,364.69,53825.2
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,649356210,7787,152.58,97.44,429375.18
Middle East and North Africa,Yemen,Cereal,Offline,986039531,9864,205.7,117.11,873851.76
Asia,Turkmenistan,Household,Offline,314136731,8894,668.27,502.54,1474002.62
Middle East and North Africa,Somalia,Beverages,Offline,121196639,3634,47.45,31.79,56908.44
Europe,Portugal,Cereal,Online,615080583,4868,205.7,117.11,431256.12
Asia,Kyrgyzstan,Fruits,Offline,273962390,414,9.33,6.92,997.74
Middle East and North Africa,Lebanon,Personal Care,Offline,796328389,121,81.73,56.67,3032.26
Europe,Macedonia,Cosmetics,Online,350977408,869,437.2,263.33,151093.03
Middle East and North Africa,Algeria,Clothes,Offline,327020776,1570,109.28,35.84,115300.8
Middle East and North Africa,Qatar,Vegetables,Online,383882319,8164,154.06,90.93,515393.32
Europe,Greece,Personal Care,Offline,701298367,8626,81.73,56.67,216167.56
Sub-Saharan Africa,Benin,Fruits,Online,629317748,7961,9.33,6.92,19186.01
Asia,Uzbekistan,Baby Food,Offline,938301789,3205,255.28,159.42,307231.3
Middle East and North Africa,Azerbaijan,Vegetables,Online,668924319,8426,154.06,90.93,531933.38
Asia,Cambodia,Clothes,Online,282171666,9721,109.28,35.84,713910.24
Europe,Italy,Personal Care,Online,309342658,222,81.73,56.67,5563.32
Sub-Saharan Africa,Mauritius ,Cosmetics,Online,902048623,5088,437.2,263.33,884650.56
Middle East and North Africa,Yemen,Clothes,Online,482213389,6513,109.28,35.84,478314.72
Central America and the Caribbean,Cuba,Vegetables,Offline,692073285,8719,154.06,90.93,550430.47
Australia and Oceania,Tonga,Fruits,Online,544177138,2963,9.33,6.92,7140.83
Central America and the Caribbean,Guatemala,Vegetables,Online,471386277,2530,154.06,90.93,159718.9
Australia and Oceania,New Zealand,Personal Care,Online,976874530,7737,81.73,56.67,193889.22
Europe,Norway,Household,Offline,384128224,933,668.27,502.54,154626.09
Sub-Saharan Africa,South Africa,Personal Care,Online,686946189,1498,81.73,56.67,37539.88
Sub-Saharan Africa,Zambia,Snacks,Offline,799439752,843,152.58,97.44,46483.02
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Online,606032741,7410,205.7,117.11,656451.9
Asia,Indonesia,Beverages,Offline,511461484,1674,47.45,31.79,26214.84
Europe,Netherlands,Household,Offline,990774810,1138,668.27,502.54,188600.74
Asia,Thailand,Snacks,Offline,339334046,5340,152.58,97.44,294447.6
Sub-Saharan Africa,Republic of the Congo,Personal Care,Offline,522813022,846,81.73,56.67,21200.76
Sub-Saharan Africa,Equatorial Guinea,Fruits,Offline,427198064,6255,9.33,6.92,15074.55
Asia,Tajikistan,Beverages,Offline,808788001,7197,47.45,31.79,112705.02
Sub-Saharan Africa,Botswana,Meat,Offline,244194161,1334,421.89,364.69,76304.8
Central America and the Caribbean,Dominican Republic,Fruits,Offline,980340373,3357,9.33,6.92,8090.37
Australia and Oceania,Samoa ,Beverages,Online,384462964,9990,47.45,31.79,156443.4
Europe,Belgium,Vegetables,Offline,394110763,4988,154.06,90.93,314892.44
Australia and Oceania,Federated States of Micronesia,Cosmetics,Online,767145097,4137,437.2,263.33,719300.19
Sub-Saharan Africa,Botswana,Fruits,Online,431739795,254,9.33,6.92,612.14
Asia,Vietnam,Cereal,Online,636381185,8189,205.7,117.11,725463.51
Europe,Kosovo,Fruits,Online,899868094,9821,9.33,6.92,23668.61
Europe,Germany,Baby Food,Offline,361311852,9061,255.28,159.42,868587.46
Europe,Hungary,Beverages,Online,930136287,6852,47.45,31.79,107302.32
Central America and the Caribbean,Saint Lucia,Cereal,Online,536077725,6167,205.7,117.11,546334.53
Sub-Saharan Africa,Madagascar,Snacks,Online,779184997,7011,152.58,97.44,386586.54
Europe,Bulgaria,Cosmetics,Online,179819428,1420,437.2,263.33,246895.4
Asia,Myanmar,Vegetables,Online,928654849,8461,154.06,90.93,534142.93
Sub-Saharan Africa,Togo,Baby Food,Offline,336677587,9234,255.28,159.42,885171.24
Australia and Oceania,Australia,Vegetables,Online,285186469,1869,154.06,90.93,117989.97
Middle East and North Africa,Morocco,Baby Food,Offline,475792825,6525,255.28,159.42,625486.5
Middle East and North Africa,Qatar,Clothes,Offline,680420482,396,109.28,35.84,29082.24
Europe,Bosnia and Herzegovina,Fruits,Online,291305768,2705,9.33,6.92,6519.05
Middle East and North Africa,Iraq,Baby Food,Offline,570997512,9707,255.28,159.42,930513.02
Europe,Russia,Personal Care,Online,602357041,9689,81.73,56.67,242806.34
Middle East and North Africa,Lebanon,Meat,Online,438558185,7967,421.89,364.69,455712.4
Europe,Albania,Snacks,Online,653087270,1891,152.58,97.44,104269.74
Australia and Oceania,Samoa ,Cereal,Offline,989743125,5840,205.7,117.11,517365.6
Europe,Slovenia,Fruits,Offline,812637078,6225,9.33,6.92,15002.25
Europe,Macedonia,Personal Care,Online,456192958,6489,81.73,56.67,162614.34
Middle East and North Africa,Lebanon,Cereal,Online,775147092,2105,205.7,117.11,186481.95
Sub-Saharan Africa,Comoros,Household,Offline,894548308,5578,668.27,502.54,924441.94
Sub-Saharan Africa,Cameroon,Cosmetics,Offline,459757936,1445,437.2,263.33,251242.15
Europe,Albania,Meat,Offline,986449801,1272,421.89,364.69,72758.4
Europe,Sweden,Cosmetics,Online,910610234,8659,437.2,263.33,1505540.33
Sub-Saharan Africa,Liberia,Cereal,Offline,538538062,4235,205.7,117.11,375178.65
